"","A-/NA/N-","A-/T-/N-","A-/T-/N+","A-/T+/N-","A-/T+/N+","A+/NA/N-","A+/NA/N+","A+/T-/N-","A+/T-/N+","A+/T+/N-","A+/T+/N+","NA/T-/N-","NA/T-/NA"
"A-/NA/N-",8,0,0,0,0,0,0,0,0,0,0,0,0
"A-/NA/N+",5,0,0,0,0,0,0,0,0,0,0,0,0
"A-/T-/N-",0,1009,0,0,0,0,0,0,0,0,0,0,0
"A-/T-/N+",0,206,213,0,0,0,0,0,0,0,0,0,0
"A-/T+/N-",0,37,0,107,0,0,0,0,0,0,0,0,0
"A-/T+/N+",0,14,24,74,213,0,0,0,0,0,0,0,0
"A+/NA/N-",7,0,0,0,0,6,0,0,0,0,0,0,0
"A+/NA/N+",5,0,0,0,0,2,2,0,0,0,0,0,0
"A+/T-/N-",0,745,0,0,0,0,0,479,0,0,0,0,0
"A+/T-/N+",0,152,127,0,0,0,0,106,115,0,0,0,0
"A+/T+/N-",0,28,0,93,0,0,0,25,0,81,0,0,0
"A+/T+/N+",0,4,18,69,188,0,0,3,14,82,201,0,0
"NA/T-/N+",0,0,0,0,0,0,0,0,0,0,0,1,0
"NA/T-/NA",0,0,0,0,0,0,0,0,0,0,0,0,2
