"ATN","N","Percent","Mean_Age","SD_Age","Mean_Cognition","SD_Cognition","Dementia_N","Dementia_Pct"
"A+/T-/N-",1224,27.4,62.9,7.2,16.2,4,17,1.4
"A-/T-/N-",1009,22.6,62,7.6,16.2,4.2,21,2.1
"A+/T+/N+",579,13,78.1,8.5,13.3,4.5,43,7.4
"A+/T-/N+",500,11.2,74,9,14.8,4.2,15,3
"A-/T-/N+",419,9.4,73.2,8.3,14.1,4.5,23,5.5
"A-/T+/N+",325,7.3,77.2,7.9,12.6,4.4,32,9.8
"A+/T+/N-",227,5.1,66.8,7.9,15.5,4.3,6,2.6
"A-/T+/N-",144,3.2,66.2,8.4,15.6,4.5,5,3.5
"A+/NA/N-",13,0.3,61.7,7,16.8,3.5,0,0
"A+/NA/N+",9,0.2,73.7,11.2,16.3,3.2,0,0
"A-/NA/N-",8,0.2,65.1,7.4,12,3.7,0,0
"A-/NA/N+",5,0.1,74.6,5.8,12.2,4.1,0,0
"NA/T-/NA",2,0,64,1.4,15,4.2,0,0
"NA/T-/N+",1,0,75,NA,10,NA,0,0
